,Unnamed: 0,open_time,open,high,low,close,volume,close_time,count,long,rsi_value,rsi_over_80,rsi_under_20,stochRsi_value,stoch_K_value,stoch_D_value,stoch_K_cross_D_bullish,stoch_K_cross_D_bearish,stochRsi_over_80,stochRsi_under_20,pSar_value,price_over_pSar,sma_value_9,price_over_sma,ichimoku_span_A,ichimoku_span_B,ichimoku_tenkan_sen,ichimoku_kijun_sen,tenkan_over_kijun,spanaA_over_spanB,ichimoku_price_in_cloud_color
77,77,1633323600000,47751.98,47865.51,47716.86,47777.05,780.10633,1633327199999,26487,1,47.12974840411594,0,0,0.19659156850944445,0.12591580588279963,0.06726506129536773,0,0,0,1,48777.452099982795,0,47810.047777777785,0,48037.902500000004,48158.04,47844.66,48231.145000000004,0,1,-1
78,78,1633327200000,47777.05,47825.0,47550.77,47710.0,996.35366,1633330799999,36467,1,45.91125194455926,0,0,0.15832511223380374,0.17869084329406756,0.12166397740772845,1,0,0,1,48653.99273198417,0,47804.69111111111,0,48004.125,48158.04,47777.104999999996,48231.145000000004,0,1,-1
79,79,1633330800000,47710.0,47860.63,47589.99,47838.54,972.61596,1633334399999,33380,1,48.65204652036343,0,0,0.26752652080841705,0.2074810671838884,0.17069590545358518,1,0,0,0,48540.41011342544,0,47788.42444444445,1,48004.125,48158.04,47777.104999999996,48231.145000000004,0,1,-1
80,80,1633334400000,47838.54,47962.51,47471.5,47656.49,1357.93377,1633337999999,49523,1,45.161637604461646,0,0,0.15553625184743256,0.19379596162988444,0.1933226240359468,1,0,0,1,48435.9141043514,0,47728.03333333333,0,47994.302500000005,48158.04,47757.46,48231.145000000004,0,1,-1
81,81,1633338000000,47656.49,47759.42,47525.0,47732.22,947.30803,1633341599999,36709,1,46.869226384219694,0,0,0.34033564895386414,0.25446614053657124,0.2185810564501147,1,0,0,0,48339.77777600329,0,47713.736666666664,1,47969.6025,48158.04,47708.06,48231.145000000004,0,1,-1
82,82,1633341600000,47732.21,47756.1,47486.15,47626.97,982.44873,1633345199999,32402,1,44.78213051908562,0,0,0.3215586784652219,0.27247685975550623,0.240246320640654,1,0,0,0,48251.332353923026,0,47693.35666666667,0,47914.7525,48158.04,47598.36,48231.145000000004,0,1,-1
83,83,1633345200000,47626.01,47679.36,47352.77,47585.85,1374.40205,1633348799999,38403,1,43.95853587014874,0,0,0.2538665830792567,0.3052536368327809,0.2773988790416195,1,0,0,0,48169.96256560918,0,47683.1,0,47914.7525,48158.04,47598.36,48231.145000000004,0,1,-1
84,84,1633348800000,47585.84,47819.43,47448.39,47707.37,1400.46322,1633352399999,38219,1,47.057338212409995,0,0,0.5085603502198894,0.36132853725478925,0.31301967794769214,1,0,0,0,48095.10236036045,0,47709.608888888884,0,47914.7525,48158.04,47598.36,48231.145000000004,0,1,-1
85,85,1633352400000,47707.37,48179.58,47667.59,48116.29,2131.43106,1633355999999,59648,1,55.89517166647755,0,0,1.0,0.5874756444330487,0.4180192728402063,1,0,1,0,47234.21,1,47750.08666666667,1,47998.66,48158.04,47766.175,48231.145000000004,0,1,0
86,86,1633356000000,48113.91,48500.0,47250.0,47450.66,3994.96721,1633359599999,109046,1,43.24142226320369,0,0,0.15784130066335583,0.5554672169610817,0.5014237995496399,1,0,0,1,48179.58,0,47713.82111111111,0,48053.0725,48158.04,47875.0,48231.145000000004,0,1,-1
