,open_time,open,high,low,close,volume,close_time,count,long
2082,1640541600000,50255.17,50399.0,50139.07,50351.1,650.75879,1640545199999,27034,1
2083,1640545200000,50351.1,50465.54,50212.83,50342.51,643.89318,1640548799999,26277,1
2084,1640548800000,50342.51,50382.61,50265.97,50269.44,387.9616,1640552399999,21888,1
2085,1640552400000,50269.44,51040.0,49914.73,50774.16,1890.38608,1640555999999,62679,1
2086,1640556000000,50776.16,51280.0,50772.0,50973.64,1221.97065,1640559599999,45649,1
2087,1640559600000,50973.65,51062.04,50638.16,50775.49,656.46684,1640563199999,26007,1
2088,1640563200000,50775.48,50974.97,50567.6,50622.87,1018.69342,1640566799999,32613,-1
2089,1640566800000,50622.86,50816.31,50449.0,50787.94,819.30551,1640570399999,28988,-1
2090,1640570400000,50787.93,50940.01,50669.04,50816.24,804.4424,1640573999999,30048,-1
2091,1640574000000,50816.19,51150.0,50791.07,51009.02,1109.63762,1640577599999,33156,-1
2092,1640577600000,51009.02,51093.86,50870.96,51001.51,1079.85491,1640581199999,33975,-1
2093,1640581200000,51001.52,51020.0,50832.72,50853.02,747.07122,1640584799999,25054,-1
2094,1640584800000,50853.03,50974.82,50730.53,50935.93,808.85343,1640588399999,28356,-1
2095,1640588400000,50935.94,50985.39,50631.0,50694.83,953.99767,1640591999999,29056,-1
2096,1640592000000,50694.83,50846.63,50555.0,50555.01,873.45815,1640595599999,33638,-1
2097,1640595600000,50555.0,50772.47,50499.77,50755.87,1077.65448,1640599199999,35476,-1
2098,1640599200000,50755.87,50900.0,50675.32,50791.11,854.73514,1640602799999,31826,-1
2099,1640602800000,50791.1,50875.41,50666.01,50759.45,917.20694,1640606399999,32814,-1
2100,1640606400000,50759.46,51200.0,50567.07,51118.83,1798.24962,1640609999999,53342,-1
2101,1640610000000,51118.84,51400.0,50979.83,51300.0,1689.5045,1640613599999,57989,-1
2102,1640613600000,51299.99,51677.0,51210.0,51502.54,1970.71236,1640617199999,69713,-1
2103,1640617200000,51502.55,51655.05,51366.0,51450.57,1137.10818,1640620799999,49077,-1
2104,1640620800000,51450.58,51519.97,51210.0,51468.0,1233.70476,1640624399999,46593,-1
2105,1640624400000,51468.0,52088.0,51441.67,51853.1,2306.06183,1640627999999,80893,-1
2106,1640628000000,51853.1,51932.0,51626.55,51690.69,1296.1781,1640631599999,45090,-1
2107,1640631600000,51690.68,51713.64,51200.0,51204.64,1297.9168,1640635199999,45501,-1
2108,1640635200000,51204.65,51365.76,50906.32,51225.88,1432.38555,1640638799999,46770,-1
